Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
STANIĆ AUTOMATION D.O.O.,SVETI IVAN ZELINA,6201,Računalno programiranje,4,1.518.621,1.599.018,2.900.113
COMFAB D.O.O.,ZAGREB,6201,Računalno programiranje,1,1.503.677,1.335.446,1.704.639
VESTIGO D.O.O.,ZAGREB,6201,Računalno programiranje,87,1.503.261,7.860.233,28.445.536
PRO-PING D.O.O.,PITOMAČA,6120,Djelatnosti bežične telekomunikacije,13,1.501.370,2.295.438,6.776.420
TOTUS D.O.O.,ZAGREB,6201,Računalno programiranje,7,1.499.104,2.463.898,4.653.264
DABAR INFORMATIKA D.O.O.,ZAGREB,6201,Računalno programiranje,15,1.498.136,13.833.034,7.398.868
APLOS D.O.O.,ZAGREB,6201,Računalno programiranje,7,1.494.977,1.971.797,2.849.048
MEDIA BIT D.O.O.,IVANEC,6201,Računalno programiranje,1,1.477.123,4.974.312,2.984.988
KOIOS SAVJETOVANJE D.O.O.,ZAGREB,6201,Računalno programiranje,20,1.467.376,2.093.250,7.568.770
MIPS D.O.O.,ZAGREB,6201,Računalno programiranje,30,1.467.033,2.519.369,11.434.332
AXIOM D.O.O,ČAKOVEC,6201,Računalno programiranje,10,1.466.021,2.716.972,3.965.412
PROMEKS KOMPJUTER D.O.O.,ZAGREB,6201,Računalno programiranje,12,1.460.535,2.709.605,5.307.128
CALIGO PROGRAMSKA RJEŠENJA D.O.O.,SVETA NEDJELJA,6201,Računalno programiranje,0,1.451.120,1.726.343,7.961.560
KAPSCH CARRIERCOM D.O.O.,ZAGREB,6201,Računalno programiranje,40,1.418.051,22.344.267,66.065.358
COADRIA D.O.O.,RIJEKA,6201,Računalno programiranje,73,1.402.694,1.749.672,16.040.854
APPENTURE D.O.O.,VARAŽDIN,6201,Računalno programiranje,11,1.388.914,1.991.630,4.956.767
SMARTIVO TEHNOLOGIJE D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,1.349.938,1.369.938,2.633.312
REVERSINGLABS D.O.O.,ZAGREB,6201,Računalno programiranje,50,1.343.243,3.599.991,26.011.232
SERENGETI D.O.O.,ZAGREB,6201,Računalno programiranje,67,1.343.213,3.088.199,20.598.316
HP PRODUKCIJA D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",27,1.325.992,18.771.000,32.014.562
TRIA D.O.O.,MURSKO SREDIŠĆE,6201,Računalno programiranje,4,1.320.155,1.518.241,2.898.317
PKE SISTEMI D.O.O.,ZAGREB,6201,Računalno programiranje,9,1.315.139,2.548.522,2.985.814
ELEKTROIMPEX D.O.O.,PULA,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",45,1.308.686,6.188.839,7.262.419
TRIPLE-INOVACIJE D.O.O.,ZAGREB,6201,Računalno programiranje,6,1.303.300,1.323.300,3.666.750
ABB D.O.O.,OSIJEK,6201,Računalno programiranje,16,1.291.302,2.491.302,5.267.520
SITNI SATI D.O.O.,ZAGREB,6201,Računalno programiranje,4,1.259.900,3.982.071,2.592.043
CALISTO D.O.O.,ZAGREB,6201,Računalno programiranje,3,1.231.278,2.679.131,6.615.334
PARDUS D.O.O.,ZAGREB,6201,Računalno programiranje,10,1.223.802,1.513.443,3.796.314
INTEGRIRANI POSLOVNI SUSTAVI D.O.O.,OROSLAVJE,6201,Računalno programiranje,1,1.209.596,2.290.043,10.152.597
BILLY POS D.O.O.,ZAGREB,6201,Računalno programiranje,2,1.189.759,1.209.760,1.711.462
UNIX CENTAR D.O.O.,RIJEKA,6201,Računalno programiranje,5,1.187.157,1.287.158,2.696.329
BANKSOFT D.O.O.,ZAGREB,6201,Računalno programiranje,33,1.185.386,1.765.364,11.697.203
GDI D.O.O,ZAGREB,6201,Računalno programiranje,50,1.172.845,12.188.585,33.514.386
HUMAN RESOURCES CLOUD D.O.O.,SPLIT,6201,Računalno programiranje,41,1.160.394,5.830.216,20.081.956
IN CUBIS D.O.O.,RIJEKA,6201,Računalno programiranje,17,1.158.698,1.258.698,5.363.432
BINOM D.O.O.,ZAGREB,6201,Računalno programiranje,12,1.156.900,1.256.899,4.279.386
PRIMAT INFORMATIKA D.O.O.,HRVATSKI LESKOVAC,6201,Računalno programiranje,7,1.153.378,1.761.079,2.834.395
PENTA D.O.O.,ŠIJANA,6201,Računalno programiranje,19,1.151.410,2.311.932,7.715.147
M.I.F. COM D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",1,1.145.652,1.697.509,1.436.356
ARS FUTURA D.O.O.,ZAGREB,6201,Računalno programiranje,7,1.119.165,1.597.256,4.323.048
MOBERG D.O.O.,ZAGREB,6201,Računalno programiranje,13,1.104.702,2.111.720,5.467.246
NETGEN D.O.O.,ZAGREB,6201,Računalno programiranje,17,1.076.317,1.227.999,6.898.457
BIT - ART INFORMATIKA D.O.O.,SINJ,6201,Računalno programiranje,14,1.074.417,2.579.655,4.539.921
CALYX D.O.O.,ZAGREB,6201,Računalno programiranje,10,1.071.854,1.601.657,4.028.972
AHERONT D.O.O.,ZAGREB,6201,Računalno programiranje,1,1.069.232,2.892.561,2.710.152
DATALAB HR D.O.O.,ZAGREB,6190,Ostale telekomunikacijske djelatnosti,13,1.066.561,1.820.268,7.364.728
EVOLVA D.O.O.,VARAŽDIN,6202,Savjetovanje u vezi s računalima,15,1.063.947,3.550.408,4.461.472
MINUS5 D.O.O.,ZAGREB,6201,Računalno programiranje,19,1.057.486,4.234.173,8.381.952
WIM SYSTEMS D.O.O.,TRNOVEC BARTOLOVEČKI,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,0,1.045.331,1.703.147,1.928.367
SPORT-BET D.O.O.,SLAVONSKI BROD,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",124,1.033.993,1.825.890,26.435.619
TAHOMA D.O.O.,MAKARSKA,6201,Računalno programiranje,15,1.028.081,1.048.080,7.674.716
SEVENOFNINE D.O.O.,MAKSIMIR,6201,Računalno programiranje,8,1.017.732,1.039.798,2.293.411
LAPLACIAN D.O.O.,SPLIT,6201,Računalno programiranje,9,1.014.014,1.034.014,5.994.102
2E SYSTEMS D.O.O.,ZAGREB,6201,Računalno programiranje,28,1.013.915,1.033.915,10.912.445
CEFIS D.O.O.,ZAGREB,6201,Računalno programiranje,3,1.010.832,1.030.832,2.662.306
COGNITIO ELEKTRONIKA D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,5,1.005.687,1.529.312,2.447.659
INFOTRIP D.O.O.,ZAGREB,6201,Računalno programiranje,12,999.923,2.968.676,3.924.075
RGO KOMUNIKACIJE D.O.O. ZA USLUGE,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,7,991.709,4.139.602,3.973.595
SUPERIUS D.O.O.,PULA,6201,Računalno programiranje,5,985.73,1.005.530,6.710.961
SWING SOFTWARE D.O.O.,SPLIT,6201,Računalno programiranje,6,984.192,7.175.625,3.662.014
GENSYM D.O.O.,ZAGREB,6201,Računalno programiranje,2,981.142,2.784.843,1.372.693
ARBONA D.O.O.,ZAGREB,6201,Računalno programiranje,11,975.594,1.635.594,5.897.630
ABEST D.O.O.,ZAGREB,6201,Računalno programiranje,12,975.537,23.892.691,21.964.283
"OPTIMUS DATA, OBRT ZA INF.USLUGE, VL.MARKO ČULO",ZAGREB,6201,Računalno programiranje,3,975.154,1.069.371,1.710.209
SAAN RAČUNALA D.O.O.,VUKOVAR,6201,Računalno programiranje,6,974.159,3.675.447,3.522.484
INGEMARK D.O.O.,ZAGREB,6201,Računalno programiranje,23,972.256,3.277.996,8.408.897
UNIGENA TC D.O.O.,ZAGREB,6201,Računalno programiranje,2,971.362,1.585.352,2.144.292
LUNES ADRIA D.O.O.,JASTREBARSKO,6201,Računalno programiranje,4,969.78,990.78,2.316.974
NIKO D.O.O.,SPLIT,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",10,969.14,2.482.811,3.885.527
PID AUTOMATIKA D.O.O.,ZAGREB,6201,Računalno programiranje,4,966.402,897.409,4.440.437
INCENDO D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,13,965.619,984.619,4.439.680
VERBUS IT D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,8,963.243,949.29,9.442.609
MMK SYSTEMS D.O.O.,ZAGREB,6201,Računalno programiranje,16,938.246,1.782.373,6.041.559
INNOVATIO PROFICIT D.O.O.,SPLIT,6201,Računalno programiranje,25,935.67,1.313.719,6.625.401
IDEA STUDIO VL.BORIS BENGEZ,SAMOBOR,6201,Računalno programiranje,10,934.721,3.409.448,4.343.956
CLICO SEE D.O.O. ZA INFORMATIČKE USLUGE,ZAGREB,6201,Računalno programiranje,2,933.462,1.000.305,9.512.114
S2 INFORMACIJSKI SUSTAVI D.O.O.,SVETI IVAN ŽABNO,6201,Računalno programiranje,5,931.245,1.372.751,2.622.055
PH NEUTRAL D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,1,927.137,934.475,1.263.148
TELECARE D.O.O.,KERESTINEC,6120,Djelatnosti bežične telekomunikacije,8,921.519,1.887.427,7.275.042
TASK INFORMACIJSKI SUSTAVI D.O.O.,VARAŽDIN,6201,Računalno programiranje,17,917.98,1.242.468,3.912.511
GAURUS D.O.O.,ZAGREB,6201,Računalno programiranje,1,917.223,937.222,2.231.376
INFOSISTEM D.D.,ZAGREB,6202,Savjetovanje u vezi s računalima,57,900.483,6.597.960,25.841.350
HELIX D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,9,894.893,3.751.400,2.963.179
TELEFONVOD SERVISI D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,40,892.907,659.102,27.275.178
